,nazwa,Korekta,rodzaj,nazwa2,,Model,Numer wewnętrzny,Właściwa kategoria główna,Kategoria I,Kategoria II,Kategoria III,Zasięg,Udźwig (t),Dodatki
10050,Podnośnik nożycowy elektryczny,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,-,-,-
8067,Podnośnik nożycowy elektryczny 10,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,10m,-,-
9049,Podnośnik nożycowy elektryczny 10m,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,10m,-,-
11123,Podnośnik nożycowy elektryczny 12m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,12m,-,-
8053,Podnośnik nożycowy elektryczny 12m,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,12m,-,-
12116,Podnośnik nożycowy elektryczny 12m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,12m,-,-
12117,Podnośnik nożycowy elektryczny 12m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,12m,-,-
12122,Podnośnik nożycowy elektryczny 12m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,12m,-,-
12123,Podnośnik nożycowy elektryczny 12m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,12m,-,-
11107,Podnośnik nożycowy elektryczny 14m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,14m,-,-
12119,Podnośnik nożycowy elektryczny 14m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,14m,-,-
12131,Podnośnik nożycowy elektryczny 14m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,14m,-,-
12132,Podnośnik nożycowy elektryczny 14m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,14m,-,-
10083,Podnośnik nożycowy elektryczny 14m,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,14m,-,-
12120,Podnośnik nożycowy elektryczny 16m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,16m,-,-
4064,"Podnośnik nożycowy elektryczny 6,3m",,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,"6,3m",-,-
11105,Podnośnik nożycowy elektryczny 6m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,6m,-,-
11106,Podnośnik nożycowy elektryczny 6m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,6m,-,-
5083,Podnośnik nożycowy elektryczny 6m,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,6m,-,-
10073,Podnośnik nożycowy elektryczny 6m,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,6m,-,-
5081,Podnośnik nożycowy elektryczny 6m,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,6m,-,-
4063,Podnośnik nożycowy elektryczny 8m,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,8m,-,-
7047,Podnośnik nożycowy elektryczny 8m,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,8m,-,-
7048,Podnośnik nożycowy elektryczny 8m,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,8m,-,-
10059,Podnośnik nożycowy elektryczny 8m,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,8m,-,-
10051,Podnośnik nożycowy elektryczny 8m,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,8m,-,-
10052,Podnośnik nożycowy elektryczny 8m,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,8m,-,-
10090,Podnośnik nożycowy elektryczny 8m,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,8m,-,-
10094,Podnośnik nożycowy elektryczny 8m,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,8m,-,-
10095,Podnośnik nożycowy elektryczny 8m,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,8m,-,-
8069,Podnośnik nożycowy spalinowy 12m,,artykuł,Podesty nozycowe diesel,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Spalinowe,,,12m,-,-
10063,Podnośnik nożycowy spalinowy 12m,,artykuł,Podesty nozycowe diesel,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Spalinowe,,,12m,-,-
10062,Podnośnik nożycowy spalinowy 12m,,artykuł,Podesty nozycowe diesel,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Spalinowe,,,12m,-,-
8046,Podnośnik nożycowy spalinowy 13m,,artykuł,Podesty nozycowe diesel,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Spalinowe,,,13m,-,-
8047,Podnośnik nożycowy spalinowy 15m,,artykuł,Podesty nozycowe diesel,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Spalinowe,,,15m,-,-
8059,Podnośnik nożycowy spalinowy 15m,,artykuł,Podesty nozycowe diesel,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Spalinowe,,,15m,-,-
11113,Podnośnik nożycowy spalinowy 18m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Spalinowe,,,18m,-,-
11118,Podnośnik nożycowy spalinowy 18m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Spalinowe,,,18m,-,-
10093,Podnośnik nożycowy spalinowy Genie GS 5390 RT,,artykuł,Podesty nozycowe diesel,x,Genie GS 5390 RT,,Podnośniki Nożycowe,Podnośniki Nożycowe Spalinowe,,,-,-,
10108,Podnośnik przegubowo - teleskopowy elektryczny,,artykuł,ogólna,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Elektryczne,,,-,-,-
10109,Podnośnik przegubowo - teleskopowy elektryczny,,artykuł,ogólna,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Elektryczne,,,-,-,-
10105,Podnośnik przegubowo – teleskopowy spalinowy 16 m,,artykuł,ogólna,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Elektryczne,,,-,-,-
10106,Podnośnik przegubowo – teleskopowy spalinowy 16 m,,artykuł,ogólna,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,16m,-,-
10092,Podnośnik przegubowo – teleskopowy spalinowy 16 m,,artykuł,Podesty przegubowo-teleskopowe,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,16m,-,-
12125,Podnośnik przegubowo – teleskopowy spalinowy 16m,usługa -> artykuł,Usługa,ogólna,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,16m,-,-
4056,Podnośnik przegubowo-teleskopowy,,artykuł,Podesty przegubowo-teleskopowe,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,16m,-,-
4057,Podnośnik przegubowo-teleskopowy elektryczny 17m,,artykuł,Podesty przegubowo-teleskopowe,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Elektryczne,,,17m,-,-
5095,Podnośnik przegubowo-teleskopowy spalinowy 15m,,artykuł,Podesty przegubowo-teleskopowe,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,15m,-,-
5096,Podnośnik przegubowo-teleskopowy spalinowy 17m,,artykuł,Podesty przegubowo-teleskopowe,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,17m,-,-
9048,Podnośnik teleskopowo - przegubowy 16m,,artykuł,ogólna,x,,,Podnośniki Teleskopowe,,,,16m,-,-
12098,Podnośnik teleskopowo - przegubowy 16m,,artykuł,ogólna,x,,,Podnośniki Teleskopowe,,,,16m,-,-
6046,Podnośnik teleskopowo - przegubowy 18m,,artykuł,ogólna,x,,,Podnośniki Teleskopowe,,,,18m,-,-
5110,Podnośnik teleskopowo - przegubowy 20 m,,artykuł,ogólna,x,,,Podnośniki Teleskopowe,,,,20m,-,-
